gx,gy,gz,wx,wy,wz
-0.029024,0.998836,-0.036969,-0.003906,0.000000,-0.148438
-0.030556,0.998920,-0.037104,-0.003906,-0.001953,-0.164062
-0.032248,0.998787,-0.036978,-0.005859,-0.003906,-0.175781
-0.034215,0.998755,-0.036976,-0.005859,-0.003906,-0.189453
-0.035992,0.998642,-0.036853,-0.005859,-0.005859,-0.193359
-0.037959,0.998607,-0.036856,-0.007812,-0.005859,-0.201172
-0.039986,0.998511,-0.036690,-0.003906,0.000000,-0.203125
-0.041949,0.998423,-0.036650,-0.005859,0.005859,-0.199219
-0.043832,0.998359,-0.036658,-0.007812,0.013672,-0.193359
-0.045795,0.998267,-0.036623,0.000000,0.019531,-0.187500
-0.047673,0.998151,-0.036590,0.003906,0.027344,-0.189453
-0.049491,0.998091,-0.036729,0.005859,0.025391,-0.191406
-0.051369,0.997971,-0.036701,0.003906,0.025391,-0.199219
-0.053354,0.997905,-0.036800,0.000000,0.025391,-0.208984
-0.055477,0.997752,-0.036688,-0.003906,0.025391,-0.222656
-0.057819,0.997637,-0.036749,-0.005859,0.025391,-0.240234
-0.060301,0.997552,-0.036725,-0.001953,0.025391,-0.259766
-0.062884,0.997352,-0.036662,-0.001953,0.027344,-0.277344
-0.065686,0.997188,-0.036773,-0.001953,0.025391,-0.292969
-0.068626,0.996935,-0.036676,0.001953,0.021484,-0.310547
