t_s,iteration,sensor_mode,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.3915,78,enc,0.7200,15.3999,0.7200,0.4266,-0.3747,90.00,84.92,89.2800,0.0000,0.550000,0.793600,0.001488,-0.085555,0.000000,1268
0.3966,79,enc,0.7200,10.7799,0.7200,0.4266,-0.3747,90.00,84.92,89.2800,0.0000,0.550000,0.793600,0.001488,-0.059888,0.000000,1268
0.4017,80,enc,0.9000,18.3459,0.9000,0.4266,-0.3747,90.00,84.92,89.1000,0.0000,0.550000,0.792000,0.001485,-0.101922,0.000000,1268
0.4067,81,enc,0.9000,12.8422,0.9000,0.4266,-0.3747,90.00,84.92,89.1000,0.0000,0.550000,0.792000,0.001485,-0.071345,0.000000,1268
0.4118,82,enc,1.0800,19.7895,1.0800,0.4266,-0.3747,90.00,84.92,88.9200,0.0000,0.550000,0.790400,0.001482,-0.109942,0.000000,1268
0.4169,83,enc,1.0800,13.8527,1.0800,0.4266,-0.3747,90.00,84.92,88.9200,0.0000,0.550000,0.790400,0.001482,-0.076959,0.000000,1268
0.4220,84,enc,1.2600,20.4969,1.2600,0.4266,-0.3747,90.00,84.92,88.7400,0.0000,0.550000,0.788800,0.001479,-0.113871,0.000000,1268
0.4270,85,enc,1.2600,14.3478,1.2600,0.4266,-0.3747,90.00,84.92,88.7400,0.0000,0.550000,0.788800,0.001479,-0.079710,0.000000,1268
0.4321,86,enc,1.4400,20.8435,1.4400,0.4266,-0.3747,90.00,84.92,88.5600,0.0000,0.550000,0.787200,0.001476,-0.115797,0.000000,1268
0.4372,87,enc,1.6200,25.3904,1.6200,1.3315,-0.9595,90.00,84.92,88.3800,0.0000,0.550000,0.785600,0.001473,-0.141058,0.000000,1268
0.4423,88,enc,1.6200,17.7733,1.6200,1.3315,-0.9595,90.00,84.92,88.3800,0.0000,0.550000,0.785600,0.001473,-0.098741,0.000000,1268
0.4474,89,enc,1.8000,23.2413,1.8000,1.3315,-0.9595,90.00,84.92,88.2000,0.0000,0.550000,0.784000,0.001470,-0.129118,0.000000,1268
0.4524,90,enc,1.9800,27.0689,1.9800,1.3315,-0.9595,90.00,84.92,88.0200,0.0000,0.550000,0.782400,0.001467,-0.150383,0.000000,1268
0.4575,91,enc,2.1600,29.7482,2.1600,1.3315,-0.9595,90.00,84.92,87.8400,0.0000,0.550000,0.780800,0.001464,-0.165268,0.000000,1268
0.4626,92,enc,2.3400,31.6238,2.3400,1.3315,-0.9595,90.00,84.92,87.6600,0.0000,0.550000,0.779200,0.001461,-0.175688,0.000000,1268
0.4677,93,enc,2.3400,22.1366,2.3400,1.3315,-0.9595,90.00,84.92,87.6600,0.0000,0.550000,0.779200,0.001461,-0.122981,0.000000,1268
0.4729,94,enc,2.5200,26.2956,2.5200,1.3315,-0.9595,90.00,84.92,87.4800,0.0000,0.550000,0.777600,0.001458,-0.146087,0.000000,1268
0.4780,95,enc,2.7000,29.2070,2.7000,1.3315,-0.9595,90.00,84.92,87.3000,0.0000,0.550000,0.776000,0.001455,-0.162261,0.000000,1268
0.4830,96,enc,2.8800,31.2449,2.8800,1.3315,-0.9595,90.00,84.92,87.1200,0.0000,0.550000,0.774400,0.001452,-0.173583,0.000000,1268
0.4881,97,enc,3.2400,43.4714,3.2400,2.7894,-1.1152,90.00,84.92,86.7600,0.4338,0.531138,0.771200,0.001446,-0.241508,0.000000,1275
0.4932,98,enc,3.4200,41.2300,3.4200,2.7894,-1.1152,90.00,84.92,86.5800,0.8667,0.543434,0.769600,0.002889,-0.229055,0.000000,1271
0.4988,99,enc,3.6000,39.6610,3.6000,2.7894,-1.1152,90.00,84.92,86.4000,0.8667,0.550000,0.768000,0.004329,-0.220339,0.000000,1268
0.5038,100,enc,3.7800,38.5627,3.7800,2.7894,-1.1152,90.00,84.92,86.2200,0.8667,0.550000,0.766400,0.004326,-0.214237,0.000000,1268
0.5089,101,enc,3.9600,37.7939,3.9600,2.7894,-1.1152,90.00,84.92,86.0400,0.8667,0.550000,0.764800,0.004323,-0.209966,0.000000,1268
0.5140,102,enc,4.1400,37.2557,4.1400,2.7894,-1.1152,90.00,84.92,85.8600,0.8667,0.550000,0.763200,0.004320,-0.206976,0.000000,1268
0.5191,103,enc,4.5000,47.6790,4.5000,2.7894,-1.1152,90.00,84.92,85.5000,1.2942,0.499431,0.760000,0.004314,-0.264883,0.000000,1287
0.5242,104,enc,4.6800,44.1753,4.6800,2.7894,-1.1152,90.00,84.92,85.3200,1.7208,0.518718,0.758400,0.005736,-0.245418,0.000000,1280
0.5293,105,enc,5.0400,52.5227,5.0400,2.7894,-1.1152,90.00,84.92,84.9600,2.1456,0.470559,0.755200,0.007152,-0.291793,0.000000,1298
0.5344,106,enc,5.2200,47.5659,5.2200,2.7894,-1.1152,90.00,84.92,84.7800,2.5695,0.497910,0.753600,0.008565,-0.264255,0.000000,1288
0.5394,107,enc,5.5800,54.8961,5.5800,4.8842,-1.0617,90.00,84.92,84.4200,2.9916,0.455394,0.750400,0.009972,-0.304978,0.000000,1304
0.5445,108,enc,5.7600,49.2273,5.7600,4.8842,-1.0617,90.00,84.92,84.2400,3.4128,0.486691,0.748800,0.011376,-0.273485,0.000000,1292
0.5496,109,enc,6.1200,56.0591,6.1200,4.8842,-1.0617,90.00,84.92,83.8800,3.8322,0.446935,0.745600,0.012774,-0.311439,0.000000,1307
0.5546,110,enc,6.3000,50.0414,6.3000,4.8842,-1.0617,90.00,84.92,83.7000,4.2507,0.480161,0.744000,0.014169,-0.278008,0.000000,1294
0.5598,111,enc,6.4800,45.8290,6.4800,4.8842,-1.0617,90.00,84.92,83.5200,4.6683,0.503356,0.742400,0.015561,-0.254605,0.000000,1286
0.5649,112,enc,6.8400,53.6803,6.8400,4.8842,-1.0617,90.00,84.92,83.1600,5.0841,0.457923,0.739200,0.016947,-0.298224,0.000000,1303
0.5699,113,enc,7.2000,59.1762,7.2000,4.8842,-1.0617,90.00,84.92,82.8000,5.4981,0.425570,0.736000,0.018327,-0.328757,0.000000,1315
0.5750,114,enc,7.5600,63.0233,7.5600,4.8842,-1.0617,90.00,84.92,82.4400,5.9103,0.402371,0.732800,0.019701,-0.350130,0.000000,1324
0.5801,115,enc,7.7400,54.9163,7.7400,4.8842,-1.0617,90.00,84.92,82.2600,6.3216,0.447181,0.731200,0.021072,-0.305091,0.000000,1307
0.5852,116,enc,8.1000,60.0414,8.1000,4.8842,-1.0617,90.00,84.92,81.9000,6.7311,0.416873,0.728000,0.022437,-0.333564,0.000000,1318
0.5902,117,enc,8.4600,63.6290,8.4600,7.6908,-1.0379,90.00,84.92,81.5400,7.1388,0.395102,0.724800,0.023796,-0.353494,0.000000,1326
0.5953,118,enc,8.8200,66.1403,8.8200,7.6908,-1.0379,90.00,84.92,81.1800,7.5447,0.379303,0.721600,0.025149,-0.367446,0.000000,1332
0.6004,119,enc,9.0000,57.0982,9.0000,7.6908,-1.0379,90.00,84.92,81.0000,7.9497,0.429287,0.720000,0.026499,-0.317212,0.000000,1314
0.6054,120,enc,9.3600,61.5687,9.3600,7.6908,-1.0379,90.00,84.92,80.6400,8.3529,0.402594,0.716800,0.027843,-0.342049,0.000000,1324
0.6105,121,enc,9.7200,64.6981,9.7200,7.6908,-1.0379,90.00,84.92,80.2800,8.7543,0.383347,0.713600,0.029181,-0.359434,0.000000,1331
0.6163,122,enc,10.0800,66.8887,10.0800,7.6908,-1.0379,90.00,84.92,79.9200,9.1539,0.369309,0.710400,0.030513,-0.371604,0.000000,1336
0.6214,123,enc,10.4400,68.4221,10.4400,7.6908,-1.0379,90.00,84.92,79.5600,9.5517,0.358916,0.707200,0.031839,-0.380123,0.000000,1340
