t_s,angle_deg
3.8131,-0.5400
3.8181,-0.3600
3.8232,-0.1800
3.8283,-0.0000
3.8333,0.1800
3.8384,0.1800
3.8434,0.3600
3.8485,0.5400
3.8536,0.5400
3.8586,0.7200
3.8637,0.9000
3.8688,1.0800
3.8738,1.2600
3.8789,1.2600
3.8839,1.4400
3.8890,1.4400
3.8941,1.6200
3.8992,1.8000
3.9043,1.9800
3.9095,1.9800
3.9146,2.1600
3.9197,2.3400
3.9248,2.3400
3.9299,2.5200
3.9350,2.5200
3.9401,2.7000
3.9453,2.8800
3.9504,3.0600
3.9555,3.0600
3.9606,3.2400
3.9657,3.2400
3.9708,3.4200
3.9759,3.4200
3.9810,3.6000
3.9861,3.7800
3.9912,3.7800
3.9963,3.9600
