t_s,psi_deg,psi_dot_dps,pwm_us
5.6842,33.7632,38.4956,1300
5.7043,35.6292,38.4956,1300
5.7244,35.6292,32.1170,1300
5.7444,35.6292,32.1170,1300
5.7645,37.1383,23.8359,1300
5.7845,37.1383,23.8359,1300
5.8046,38.2079,23.8359,1300
5.8247,38.2079,14.6597,1300
5.8448,38.2079,14.6597,1300
5.8648,38.7730,4.3643,1300
5.8849,38.7730,4.3643,1300
5.9050,38.8184,4.3643,1300
5.9251,38.8184,-5.9310,1300
5.9452,38.8184,-5.9310,1300
5.9652,38.4048,-14.7716,1300
5.9853,38.4048,-14.7716,1300
6.0054,37.5269,-14.7716,1300
6.0255,37.5269,-23.7240,1300
6.0456,37.5269,-23.7240,1300
6.0656,36.2424,-30.2146,1300
6.0857,36.2424,-30.2146,1300
6.1058,34.6964,-30.2146,1300
6.1259,34.6964,-33.0122,1300
6.1459,34.6964,-33.0122,1300
6.1660,32.9712,-36.7051,1300
6.1861,32.9712,-36.7051,1300
6.2061,31.1095,-36.7051,1300
6.2262,31.1095,-37.6004,1300
6.2463,31.1095,-37.6004,1300
6.2664,29.2822,-36.2575,1300
6.2864,29.2822,-36.2575,1300
6.3065,27.5654,-36.2575,1300
6.3266,27.5654,-30.7741,1300
6.3467,27.5654,-30.7741,1300
6.3667,26.0792,-26.1860,1300
6.3868,26.0792,-26.1860,1300
6.4069,24.9221,-26.1860,1300
6.4269,24.9221,-18.2406,1300
6.4470,24.9221,-18.2406,1300
6.4671,24.1885,-8.5048,1300
6.4872,24.1885,-8.5048,1300
6.5072,23.8682,-8.5048,1300
6.5273,23.8682,-0.8952,1300
6.5474,23.8682,-0.8952,1300
6.5675,23.9833,8.8406,1300
6.5875,23.9833,8.8406,1300
6.6076,24.5261,8.8406,1300
6.6277,24.5261,15.3311,1300
6.6478,24.5261,15.3311,1300
6.6678,25.4043,21.8216,1300
6.6879,25.4043,21.8216,1300
6.7080,26.6086,21.8216,1300
6.7281,26.6086,26.7455,1300
6.7481,26.6086,26.7455,1300
6.7682,27.9800,27.8645,1300
6.7883,27.9800,27.8645,1300
6.8083,29.4225,27.8645,1300
6.8284,29.4225,29.9908,1300
6.8485,29.4225,29.9908,1300
6.8686,30.9116,28.2003,1300
6.8886,30.9116,28.2003,1300
6.9087,32.3073,28.2003,1300
6.9288,32.3073,25.9622,1300
6.9489,32.3073,25.9622,1300
6.9689,33.5721,22.6050,1300
6.9890,33.5721,22.6050,1300
7.0091,34.6019,22.6050,1300
7.0292,34.6019,16.6740,1300
7.0493,34.6019,16.6740,1300
7.0694,35.3165,9.6239,1300
7.0894,35.3165,9.6239,1300
7.1095,35.7236,9.6239,1300
7.1296,35.7236,3.5810,1300
7.1497,35.7236,3.5810,1300
7.1697,35.7912,-4.0286,1300
7.1898,35.7912,-4.0286,1300
7.2099,35.5203,-9.1763,1300
7.2299,35.5203,-9.1763,1300
7.2501,35.5203,-9.1763,1300
7.2701,34.9704,-14.6597,1300
7.2902,34.9704,-14.6597,1300
7.3103,34.1839,-17.7930,1300
7.3303,34.1839,-17.7930,1300
7.3504,34.1839,-17.7930,1300
7.3705,33.2241,-21.9335,1300
7.3905,33.2241,-21.9335,1300
7.4106,32.1276,-22.6050,1300
7.4307,32.1276,-22.6050,1300
7.4507,30.9884,-22.6050,1300
7.4708,30.9884,-21.5978,1300
7.4909,30.9884,-21.5978,1300
7.5110,29.8558,-22.0454,1300
7.5310,29.8558,-22.0454,1300
7.5511,28.7854,-22.0454,1300
7.5712,28.7854,-19.5835,1300
7.5912,28.7854,-19.5835,1300
7.6113,27.8475,-16.4502,1300
7.6314,27.8475,-16.4502,1300
7.6514,27.1488,-16.4502,1300
7.6715,27.1488,-10.6311,1300
7.6916,27.1488,-10.6311,1300
7.7116,26.6908,-6.2667,1300
7.7317,26.6908,-6.2667,1300
7.7518,26.4681,-6.2667,1300
7.7718,26.4681,-0.4476,1300
7.7919,26.4681,-0.4476,1300
7.8120,26.5093,4.1405,1300
7.8321,26.5093,4.1405,1300
7.8521,26.8185,4.1405,1300
7.8722,26.8185,9.1763,1300
