t_s,iteration,psi_enc_deg,psi_dot_enc_dps,phi_yaw_deg,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.6252,109,10.8000,89.6939,-0.7097,90.00,84.79,174.79,79.2000,14.4027,0.276423,0.704000,0.048009,-0.498300,0.022713,1370
0.6303,110,11.5200,105.9857,-0.7097,90.00,84.79,174.79,78.4800,14.7951,0.180821,0.697600,0.049317,-0.588810,0.022713,1390
0.6354,111,11.8800,95.7900,-0.7097,90.00,84.79,174.79,78.1200,15.1857,0.235565,0.694400,0.050619,-0.532167,0.022713,1386
0.6405,112,12.6000,110.2530,-0.7097,90.00,84.79,174.79,77.4000,15.5727,0.150105,0.688000,0.051909,-0.612517,0.022713,1406
0.6456,113,13.1400,109.5771,-0.847,90.00,84.79,174.79,76.8600,15.9570,0.150341,0.683200,0.053190,-0.608762,0.022713,1418
0.6507,114,13.6800,109.1040,-0.847,90.00,84.79,174.79,76.3200,16.3386,0.149442,0.678400,0.054462,-0.606133,0.022713,1418
0.6559,115,13.8600,87.1728,-0.847,90.00,84.79,174.79,76.1400,16.7193,0.270951,0.676800,0.055731,-0.484293,0.022713,1398
0.6610,116,14.0400,71.8209,-0.847,90.00,84.79,174.79,75.9600,17.0991,0.355905,0.675200,0.056997,-0.399005,0.022713,1378
0.6661,117,14.4000,71.8747,-0.847,90.00,84.79,174.79,75.6000,17.4771,0.353667,0.672000,0.058257,-0.399304,0.022713,1358
0.6712,118,14.9400,82.7123,-0.847,90.00,84.79,174.79,75.0600,17.8524,0.289909,0.667200,0.059508,-0.459513,0.022713,1366
0.6763,119,15.1200,68.6986,-0.847,90.00,84.79,174.79,74.8800,18.2268,0.367410,0.665600,0.060756,-0.381659,0.022713,1346
0.6815,120,15.6600,80.4890,-0.847,90.00,84.79,174.79,74.3400,18.5985,0.298347,0.660800,0.061995,-0.447161,0.022713,1363
0.6866,121,16.2000,88.7423,-0.847,90.00,84.79,174.79,73.8000,18.9675,0.248925,0.656000,0.063225,-0.493013,0.022713,1381
0.6917,122,16.9200,105.3196,-0.9477,90.00,84.79,174.79,73.0800,19.3329,0.151647,0.649600,0.064443,-0.585109,0.022713,1401
0.7127,123,17.6400,116.9237,-0.9477,90.00,84.79,174.79,72.3600,19.6947,0.081986,0.643200,0.065649,-0.649576,0.022713,1421
0.7190,124,18.0000,103.4466,-0.9477,90.00,84.79,174.79,72.0000,20.0547,0.154859,0.640000,0.066849,-0.574703,0.022713,1416
0.7241,125,18.3600,94.0126,-0.9477,90.00,84.79,174.79,71.6400,20.4129,0.205264,0.636800,0.068043,-0.522292,0.022713,1398
0.7323,126,19.2600,119.8088,-0.9477,90.00,84.79,174.79,70.7400,20.7666,0.055131,0.628800,0.069222,-0.665605,0.022713,1418
0.7374,127,19.6200,105.4662,-0.9477,90.00,84.79,174.79,70.3800,21.1185,0.132785,0.625600,0.070395,-0.585923,0.022713,1425
