wall,t,tgt,ref,angle,err,u,pwm,P,I,D,gz
1786719171.8255856,11.280000800000153,60.0,60.0,61.5134049523877,-1.5134049523877025,0.2064558500601465,1363.9341279807531,-0.03697945906921479,0.2429889089355099,0.00012943340182956447,0.0
1786719171.845089,11.300001175000034,60.0,60.0,61.5134049523877,-1.5134049523877025,0.20781903572702692,1363.4979085673513,-0.03697945906921479,0.24267194214348803,0.001809585860731826,-0.001953125
1786719171.8638535,11.320001142000137,60.0,60.0,61.5134049523877,-1.5134049523877025,0.20817412991856596,1363.384278426059,-0.03697945906921479,0.2423549753514662,0.0024816468442927305,-0.001953125
1786719171.8866436,11.340000758000087,60.0,60.0,61.50851982736526,-1.5085198273652622,0.20648754114238688,1363.9239868344362,-0.036860092946796395,0.24203903169763652,0.0009926587377170923,0.0
1786719171.9037917,11.36000111500016,60.0,60.0,61.50851982736526,-1.5085198273652622,0.20557600224592695,1364.2156792813034,-0.036860092946796395,0.24172308804380685,0.0003970634950868369,0.0
1786719171.9257753,11.380001138000125,60.0,60.0,61.508029816138816,-1.5080298161388157,0.2050337937280277,1364.3891860070312,-0.036848119713813875,0.24140724701768843,0.00015882539803473475,0.0
1786719171.9481947,11.400001179000128,60.0,60.0,61.508029816138816,-1.5080298161388157,0.20462265746308844,1364.5207496118117,-0.036848119713813875,0.24109140599157003,6.353015921389391e-05,0.0
1786719171.963286,11.42000103600003,60.0,60.0,61.508029816138816,-1.5080298161388157,0.2042686983414417,1364.6340165307386,-0.036848119713813875,0.2407755649654516,2.5412063685557567e-05,0.0
1786719171.9861217,11.440000799000018,60.0,60.0,61.50681184185896,-1.506811841858962,0.2022095583030552,1365.2929413430224,-0.0368183589878706,0.24045997903126987,-0.0017476476745257768,0.001953125
1786719172.003757,11.460000804000174,60.0,60.0,61.50681184185896,-1.506811841858962,0.20118474847358894,1365.6208804884516,-0.0368183589878706,0.24014439309708813,-0.0024568715698103107,0.001953125
1786719172.0249279,11.480000717000166,60.0,60.0,61.50192758824306,-1.5019275882430634,0.20070481781123323,1365.7744583004053,-0.03669901415793078,0.23982983011859157,-0.0027405611279241243,0.001953125
