wall,t,offset,pwm,angle,gz
1786718765.4330978,49.18000030999997,135,1365,43.838105008054015,0.0
1786718765.4556844,49.20000031099994,135,1365,43.838105008054015,0.0
1786718765.4731045,49.22000038700003,135,1365,43.838105008054015,0.0
1786718765.494665,49.240000314999975,135,1365,43.84001102914934,0.0
1786718765.5146854,49.260000687,135,1365,43.84001102914934,0.0
1786718765.5331166,49.280000392000034,135,1365,43.84001102914934,0.0
1786718765.5556862,49.30000037499997,135,1365,43.8446191321365,0.0
1786718765.5730808,49.320000394999965,135,1365,43.8446191321365,0.0
1786718765.594695,49.340000488999976,135,1365,43.83812412858984,0.0
1786718765.6146605,49.36000050999996,135,1365,43.83812412858984,0.0
1786718765.633104,49.38000114099998,135,1365,43.83812412858984,0.0
1786718765.6556396,49.40000093899994,135,1365,43.83812412858984,0.0
1786718765.6729946,49.42000049599994,135,1365,43.83812412858984,0.0
1786718765.6945567,49.44000083100002,135,1365,43.83351632500552,0.0
1786718765.7145736,49.460000424999976,135,1365,43.83351632500552,0.0
1786718765.7329018,49.48000051899999,135,1365,43.83351632500552,0.0
1786718765.755574,49.500000279999995,135,1365,43.83351632500552,0.0
1786718765.7728386,49.52000029999999,135,1365,43.83351632500552,0.0
1786718765.794393,49.540000265,135,1365,43.83340324940485,0.0
1786718765.8143518,49.560000359000014,135,1365,43.83340324940485,0.0
1786718765.8327494,49.58000041599996,135,1365,43.83340324940485,0.0
1786718765.855301,49.600000324999996,135,1365,43.82892739439046,0.0
1786718765.872701,49.62000032699996,135,1365,43.82892739439046,0.0
1786718765.8942761,49.64000055099996,135,1365,43.82892739439046,0.0
1786718765.9142432,49.66000064499997,135,1365,43.82892739439046,0.0
1786718765.9326613,49.68000035,135,1365,43.82892739439046,0.0
1786718765.9551487,49.70000046300004,135,1365,43.82892739439046,0.0
1786718765.9727004,49.72000066800001,135,1365,43.82892739439046,0.0
1786718765.9941165,49.74000037400003,135,1365,43.82892739439046,0.0
1786718766.0140474,49.76000032000002,135,1365,43.82892739439046,0.0
1786718766.03271,49.78000052599998,135,1365,43.82892739439046,0.0
1786718766.0550337,49.80000039799995,135,1365,43.82690861081349,0.0
1786718766.0726662,49.82000067799993,135,1365,43.82690861081349,0.0
1786718766.093933,49.840000327999974,135,1365,43.82690861081349,0.0
1786718766.1139302,49.860000422999974,135,1365,43.82690861081349,0.0
1786718766.132671,49.880000481000025,135,1365,43.82690861081349,0.0
1786718766.1549006,49.900000389999946,135,1365,43.82690861081349,0.0
1786718766.1726644,49.92000028099994,135,1365,43.82690861081349,0.0
1786718766.1938226,49.94000043099993,135,1365,43.82892739439046,0.0
1786718766.214249,49.96000041499997,135,1365,43.82892739439046,0.0
1786718766.2326725,49.98000034300003,135,1365,43.82892739439046,0.0
1786718766.2548296,50.000000270999976,120,1380,43.82892739439046,0.0
1786718766.2726817,50.02000032800004,120,1380,43.82892739439046,0.0
1786718766.2942123,50.04000042300004,120,1380,43.82892739439046,0.0
1786718766.3142529,50.06000040699996,120,1380,43.82892739439046,0.0
1786718766.332652,50.08000037199997,120,1380,43.82892739439046,0.0
1786718766.3552473,50.10000028100001,120,1380,43.82892739439046,0.0
1786718766.3726587,50.12000035699998,120,1380,43.82892739439046,0.0
1786718766.3942094,50.14000028499993,120,1380,43.82892739439046,0.0
1786718766.4141238,50.16000045399994,120,1380,43.82892739439046,0.0
1786718766.4326465,50.18000028999995,120,1380,43.82892739439046,0.0
1786718766.4550977,50.20000040299999,120,1380,43.83340324940485,0.0
1786718766.4726608,50.22000064600002,120,1380,43.83340324940485,0.0
1786718766.4940324,50.24000042499995,120,1380,43.83351632500552,0.0
1786718766.5139804,50.26000072399995,120,1380,43.83351632500552,0.0
1786718766.532704,50.280000540999936,120,1380,43.83351632500552,0.0
1786718766.5549552,50.300000469,120,1380,43.83340324940485,0.0
1786718766.57265,50.320000396999944,120,1380,43.83340324940485,0.0
1786718766.5938926,50.34000030599998,120,1380,43.828795420475075,0.0
1786718766.6138537,50.36000077099993,120,1380,43.828795420475075,0.00390625
1786718766.632775,50.38000069899999,120,1380,43.828795420475075,0.00390625
1786718766.65481,50.400000904999956,120,1380,43.82243245801817,0.00390625
1786718766.6726856,50.420000240000036,120,1380,43.82243245801817,0.00390625
1786718766.6937506,50.440000335000036,120,1380,43.82228123414819,0.00390625
1786718766.7137265,50.46000037399995,120,1380,43.82228123414819,0.009765625
1786718766.732661,50.48000030200001,120,1380,43.82228123414819,0.009765625
1786718766.7547815,50.500000656,120,1380,43.829075564054364,0.001953125
1786718766.7727852,50.52000073199997,120,1380,43.829075564054364,0.001953125
1786718766.793736,50.54000036399998,120,1380,43.829075564054364,0.001953125
1786718766.8136494,50.56000049599993,120,1380,43.829075564054364,-0.00390625
1786718766.832655,50.58000051599993,120,1380,43.829075564054364,-0.00390625
1786718766.8546808,50.60000042599995,120,1380,43.82905874580189,-0.00390625
1786718766.8726468,50.62000039099996,120,1380,43.82905874580189,-0.00390625
1786718766.8947787,50.64000074499995,120,1380,43.822563212321285,-0.005859375
1786718766.912699,50.66000052499999,120,1380,43.822563212321285,-0.005859375
1786718766.932691,50.680000379000035,120,1380,43.822563212321285,-0.005859375
1786718766.9546869,50.70000030699998,120,1380,43.82718572811433,-0.00390625
1786718766.972652,50.72000036399993,120,1380,43.82718572811433,-0.00390625
1786718766.9946482,50.740000366000004,120,1380,43.82243245801817,0.001953125
1786718767.0126479,50.760000257,120,1380,43.82243245801817,0.001953125
1786718767.0327191,50.780000592999954,120,1380,43.82243245801817,0.001953125
1786718767.0547998,50.80000063299997,120,1380,43.81131161420504,0.005859375
1786718767.072663,50.820000394999965,120,1380,43.81131161420504,0.005859375
1786718767.094691,50.84000028599996,120,1380,43.81159065979614,0.00390625
1786718767.1126952,50.86000028900003,120,1380,43.81159065979614,0.00390625
1786718767.1326604,50.88000025400004,120,1380,43.81159065979614,0.00390625
1786718767.154686,50.900000405000014,120,1380,43.8162117333265,-0.00390625
1786718767.1726625,50.92000038899994,120,1380,43.8162117333265,-0.00390625
1786718767.1946907,50.94000042799996,120,1380,43.813624509064084,-0.005859375
1786718767.2126539,50.96000048600001,120,1380,43.813624509064084,-0.005859375
1786718767.2326813,50.98000035899997,120,1380,43.813624509064084,-0.005859375
1786718767.2547061,51.000000288000024,120,1380,43.80711331612656,-0.005859375
1786718767.2726955,51.020000439,120,1380,43.80711331612656,-0.005859375
1786718767.2954097,51.04000031099997,120,1380,43.80698375426874,-0.0078125
1786718767.3127017,51.060000480999975,120,1380,43.80698375426874,-0.0078125
